Sub,One,Two,Three,Four
subject_1,0.4,0.6,0.75,0.25
subject_1,0.42587648359207,0.58927094044305,0.73054359271584,0.29279449140297
subject_1,0.4446870661432,0.62957959978883,0.74656089308051,0.30524335677704
subject_1,0.47380978506377,0.64654320072059,0.71061192806914,0.28876706640955
subject_1,0.49856526150934,0.6408223879923,0.71818425186218,0.26938350147589
subject_1,0.4774957270466,0.68609138805576,0.70353419200717,0.26405581439827
subject_1,0.47917919633978,0.67694318153595,0.71120397413036,0.25414920679708
subject_1,0.5031125875645,0.73416290654652,0.74572937990237,0.26343383997739
subject_1,0.52630641342554,0.69519539531809,0.72464562483441,0.29040433941206
subject_1,0.49239727322597,0.72907813600221,0.7424705517772,0.26382603753864
subject_1,0.47294086594181,0.69597212659261,0.74681607961931,0.27940615197513
subject_1,0.47890083869033,0.66947061763909,0.73980076309156,0.28536612472365
subject_1,0.50407083219024,0.64165181892873,0.72290668687573,0.27154038926929
subject_1,0.48862799916178,0.5970410796312,0.70698863547634,0.25048593426115
subject_1,0.50407326174369,0.6282842831074,0.74324095061247,0.25343496505625
subject_1,0.54499593019935,0.64308200567168,0.74213568915117,0.2543543035627
subject_1,0.56273152260072,0.668043869166,0.74906916216957,0.26731469713954
subject_1,0.53068780669744,0.69067346248673,0.73031463182725,0.2974306409373
subject_1,0.54626792113393,0.6695647335277,0.72963253643021,0.309059351049
subject_1,0.59709346438204,0.69234739020421,0.71659372917687,0.33792221502809
subject_1,0.61964875839109,0.71687379925512,0.70794643534453,0.29648602677705
subject_1,0.64849049632815,0.73494633403363,0.71757408974778,0.28719015812746
subject_1,0.61828936225555,0.72810403188036,0.7180094732568,0.25567530507257
subject_1,0.61819786916585,0.7229323311516,0.74253588230772,0.26226811781209
subject_1,0.64279095568968,0.71353863280089,0.74874673002628,0.27299142396109
subject_1,0.25,0.75,0.6,0.4
subject_1,0.26971512719402,0.71654934266245,0.62452640905092,0.39856128659918
subject_1,0.27297652169604,0.74931152603425,0.5932109472128,0.41391904172679
subject_1,0.25422199135372,0.73983715904448,0.56479525593179,0.38418654031799
subject_1,0.28269414977356,0.70578682165229,0.55891207950972,0.36258964066352
subject_1,0.29906020963189,0.69392741575522,0.58192285904501,0.3931045716211
subject_1,0.2645092864979,0.68978230498291,0.59811477373298,0.36310138253964
subject_1,0.29025461182231,0.69857745366217,0.57382889575489,0.32002234581815
subject_1,0.30811267715836,0.73890035189335,0.55775423291025,0.36636363060083
subject_1,0.29442784055862,0.73072515190841,0.61013981015313,0.35561142855584
subject_1,0.29882476160163,0.72661539074005,0.62781797320054,0.37610512937649
subject_1,0.3079520555843,0.72733559612043,0.64179459355789,0.40113248145331
subject_1,0.29930476175195,0.72533705935422,0.65227180624415,0.39590060491682
subject_1,0.31265932237588,0.71831962992485,0.63565024263931,0.42049369144065
subject_1,0.30123263306462,0.69524180075792,0.69286996764988,0.4462552371985
subject_1,0.30165660252797,0.67651161049879,0.6994631819426,0.44479577562573
subject_1,0.30055134106667,0.64604605425613,0.67544972797159,0.52052224430543
subject_1,0.31751494199843,0.67066038437326,0.6413993905794,0.51629452092577
subject_1,0.30280098704279,0.71158305282891,0.68170804992517,0.56396699387376
subject_1,0.28404645670047,0.71541600439002,0.66232448499151,0.55982188310144
subject_1,0.28177092764187,0.72892055645266,0.67635207572858,0.53064857398467
subject_1,0.25361003686767,0.72769948652341,0.63679960478384,0.50658985834592
subject_1,0.25348919907864,0.73554650892934,0.61251372680575,0.47803660244807
subject_1,0.26164605575181,0.72763286896807,0.60377009438936,0.42582196449643
subject_1,0.25524802046402,0.73144446257627,0.613541309647,0.4346171131757
subject_1,0.27291287031019,0.72005333155828,0.57940026895699,0.40117779730154
subject_1,0.25826281045518,0.69660921352128,0.58700771272551,0.40160176676489
subject_1,0.2513019947549,0.74014307107926,0.59943492389496,0.40722444002744
subject_1,0.26065090433089,0.73139943866287,0.63186701297092,0.40617515527319
subject_1,0.26045782462815,0.71884359070024,0.61625407136198,0.40661400948975
subject_1,0.27184882628757,0.69162221528714,0.64858814482932,0.46563634955725
subject_1,0.28702406036899,0.65817155794959,0.63152208135183,0.44502913208275
subject_1,0.30641838993355,0.7089971011977,0.62799620911308,0.48896836415591
subject_1,0.34320352737528,0.65991856357523,0.57693020503975,0.46971828548532
subject_1,0.3497963401148,0.67650431950678,0.58191629167563,0.49221148679123
subject_1,0.3250731383505,0.66342809433675,0.55393298199736,0.53972099334702
subject_1,0.30568957341684,0.69120145317234,0.55088607826996,0.5229850585177
subject_1,0.29033536512664,0.73152435140352,0.52687262429895,0.52467519759164
subject_1,0.30818352033808,0.74223772000701,0.53876197704966,0.50812859204651
subject_1,0.25127627380761,0.73216383796938,0.53304116432137,0.52769748002468
subject_1,0.26520001655988,0.74308068558506,0.55004437418398,0.55547083886028
subject_1,0.28423539366441,0.71319496924241,0.58431555540863,0.55442155410603
subject_1,0.30831231122532,0.69194824692166,0.57127674815529,0.58768025917834
subject_1,0.25506819694639,0.70133628581731,0.55880139503581,0.63309938591548
